MysteryData	Type	Value
Uncommon	Chip	MetalGears
Uncommon	Chip	WhiteCard
Uncommon	Chip	MetalStage
Uncommon	Chip	FlameShield
Uncommon	Chip	LightWave
Uncommon	Chip	CrystalBlade
Uncommon	Chip	ShellHockey
Uncommon	Chip	BubbleParasol
Uncommon	Chip	SpiritSword
Uncommon	Chip	DataDaggers
Uncommon	Chip	BlackWing
Uncommon	Chip	Hakkero
Uncommon	Chip	ChromaSword
Uncommon	Chip	ConcreteShot
Uncommon	Chip	SkullBarrier
Uncommon	Chip	Faker
Uncommon	Chip	BlizzardBall
Uncommon	Chip	MagicTome
Uncommon	Chip	BraveSword
Uncommon	Chip	AirBomb
Uncommon	Chip	RocketTackle
Uncommon	Chip	Chimera
Uncommon	Chip	DashingGrace
Uncommon	Chip	MagiBomb
Uncommon	Chip	KnuckleSpikes
Uncommon	Chip	Uptempo
Uncommon	Chip	EchoChamber
Uncommon	Chip	DizzyHit
Uncommon	Chip	MokoRush
Uncommon	Chip	InstantKarma
Uncommon	Chip	DashSpin
Uncommon	Chip	GeminiLaser
Uncommon	Chip	PercussiveFix
Uncommon	Chip	SilverKnife
Uncommon	Chip	ChargeCannon
Uncommon	Chip	GutStraight
Uncommon	Chip	TabulaRasa
Uncommon	Chip	Recharger
Uncommon	Chip	LavaSeed
Uncommon	Chip	KnightSword
Uncommon	Chip	FlareGun
Uncommon	Chip	Uninstall
Uncommon	Chip	Resist
Uncommon	Chip	CrackShot
Uncommon	Chip	RollFlash
Uncommon	Chip	Tornado
Uncommon	Chip	CapsLock
Uncommon	Chip	HeavyAnchor
Uncommon	Chip	GasGarden
Uncommon	Chip	Hakurouken
Uncommon	Chip	Roukanken
Uncommon	Chip	BubbleStar
Uncommon	Chip	LoveLetters
Uncommon	Chip	MagSeed
Uncommon	NCP	ProgPal
Uncommon	NCP	DarkBargain
Uncommon	NCP	CosmicMind
Uncommon	NCP	Malediction
Uncommon	NCP	QueenOfClubs
Uncommon	NCP	DevilFangs
Uncommon	NCP	SpeedRunner
Uncommon	NCP	Custom+3
Uncommon	NCP	DualPipeline
Uncommon	NCP	BlastCannon
Uncommon	NCP	ChipCharge
Uncommon	NCP	ChipLance
Uncommon	NCP	AngerMind
Uncommon	NCP	Trailblazer
Uncommon	NCP	SuperAmor
Uncommon	NCP	EnergyChange
Uncommon	NCP	Press
Uncommon	NCP	OpenPort
Uncommon	NCP	RedundantArray
Uncommon	NCP	Undershirt
Uncommon	NCP	MimicStrike
Uncommon	NCP	ElemRitual
Uncommon	NCP	KineticArmor
Uncommon	NCP	StyleReuse
Uncommon	NCP	Charm+1
Uncommon	NCP	Bravery+1
Uncommon	NCP	Affinity+1
Uncommon	NCP	CashOut
Uncommon	NCP	SetElement
Uncommon	NCP	ParallelPort
Uncommon	NCP	Sense+1
Uncommon	NCP	Info+1
Uncommon	NCP	Coding+1
Uncommon	NCP	Strength+1
Uncommon	NCP	Stamina+1
Uncommon	NCP	Speed+1
		
Rare	Chip	Recover4
Rare	Chip	Recall
Rare	Chip	ICEPick
Rare	Chip	TopSpin
Rare	Chip	FolderRewind
Rare	Chip	VesselBlade
Rare	Chip	Possession
Rare	Chip	PaladinLance
Rare	Chip	WhiteCard
Rare	Chip	DoubleEdge
Rare	Chip	CrashLink
Rare	Chip	JamOut
Rare	Chip	TripleRod
Rare	Chip	AirStrike
Rare	Chip	BurstRevenge
Rare	Chip	ColorPoint
Rare	Chip	BioSpray
Rare	Chip	VenomShot
Rare	Chip	ImmortalSmoke
Rare	Chip	Detonator
Rare	Chip	DiffusalCannon
Rare	Chip	ShellArmor
Rare	Chip	NOBeam
Rare	Chip	ShellHockey
Rare	Chip	FinalBlow
Rare	Chip	Geyser
Rare	Chip	SeedCannon
Rare	Chip	Tornado
Rare	Chip	HiveShield
Rare	Chip	BlizzardBall
Rare	Chip	VarGun
Rare	Chip	VarSword
Rare	Chip	HyperSpanner
Rare	Chip	ExtendAsh
Rare	Chip	WanderingSin
Rare	Chip	NorthWind
Rare	Chip	Timestopper
Rare	Chip	ZeroKnuckle
Rare	Chip	BlackBomb
Rare	Chip	DimensionalGate
Rare	Chip	AceOfSpades
Rare	Chip	BanishingBlade
Rare	Chip	Hanrei
Rare	Chip	EchoChamber
Rare	Chip	CustSword
Rare	Chip	Z-Saber
Rare	Chip	GunDelSol
Rare	Chip	EarthPower
Rare	Chip	Hakurouken
Rare	Chip	Roukanken
Rare	Chip	SeedCannon
Rare	Chip	0-TheFool
Rare	Chip	I-TheMagician
Rare	Chip	II-HighPriestess
Rare	Chip	III-TheEmpress
Rare	Chip	IV-TheEmperor
Rare	Chip	V-TheHierophant
Rare	Chip	VI-TheLovers
Rare	Chip	VII-TheChariot
Rare	Chip	VIII-Strength
Rare	Chip	IX-TheHermit
Rare	Chip	X-WheelOfFortune
Rare	Chip	XI-Justice
Rare	Chip	XII-HangedMan
Rare	Chip	XIII-Death
Rare	Chip	XIV-Temperance
Rare	Chip	XV-TheDevil
Rare	Chip	XVI-TheTower
Rare	Chip	XVII-TheStar
Rare	Chip	XVIII-TheMoon
Rare	Chip	XIX-TheSun
Rare	Chip	XX-Judgement
Rare	NCP	[MindPowerNCP]
Rare	NCP	[BodyPowerNCP]
Rare	NCP	[SoulPowerNCP]
Rare	NCP	Mind+1
Rare	NCP	Body+1
Rare	NCP	Soul+1
Rare	NCP	[Stat]+1
Rare	NCP	[Skill]+1
Rare	NCP	GrazingPower
Rare	NCP	KingOfDiamonds
Rare	NCP	BeastWithin
Rare	NCP	LunarDial
Rare	NCP	Taboo
Rare	NCP	ElemPeace
Rare	NCP	MyGarden
Rare	NCP	DamageGhost
Rare	NCP	SpeedRunner
Rare	NCP	RunSoul
Rare	NCP	MimicStrike
Rare	NCP	Proxy
Rare	NCP	AddOn
Rare	NCP	KernelPanic
Rare	NCP	ChameleoCloak
Rare	NCP	Master
Rare	NCP	FanClub
Rare	NCP	EnergyChange
Rare	NCP	ExecutionUnit
Rare	NCP	Grimoire
Rare	NCP	HardObject
Rare	NCP	VolatileMemory
Rare	NCP	[MindNPU]
Rare	NCP	[BodyNPU]
Rare	NCP	[SoulNPU]
Rare	NCP	[MindSkill]+1
Rare	NCP	[BodySkill]+1
Rare	NCP	[SoulSkill]+1
