Power/NCP	Skill	Type	Effect	EB	Sort	From?
Precognition	Info	Roll	Can roll Info to dodge an attack you've seen. On dodging a rolled attack, enemy gets 1 skill reduction in that skill until virus is deleted.	-	Virus Power	Genso Network
SoulVision	Affinity	Roll	Learn one memory the target has per hit.	-	Virus Power	Genso Network
Collaborate	Affinity	Cost	Briefly project an illusion of anything you've seen/heard in Near range.	-	Virus Power	Genso Network
Astonish	Speed	Cost	Make a free attack to immediately interrupt a Near enemy's attack.	-	Virus Power	Genso Network
Pester	-	Passive	When performing an opening attack, or taking an opponent by surprise, roll twice and take the better result.	-	Virus Power	Genso Network
HopTolt	-	Passive	Can bypass structures/hazards unharmed, even inexplicably.	-	Virus Power	Genso Network
FlashFreeze	Affinity	Cost	Next ranged attack freezes enemy in place until they break free.	-	Virus Power	Genso Network
Lasso	-	Passive	Enemies hit with attacks are briefly stunned and drug into Close.	-	Virus Power	Genso Network
AuraBattler	-	Passive	Has a Guard that ignores all <2 damage. Pops on 2+ damage.	-	Virus Power	Genso Network
Pursuit	Bravery	Cost	If enemy moves away a range band, immediately make a downshifted attack.	-	Virus Power	Genso Network
Encirclement	-	Passive	When a Near ally attacks or defends in melee, you may immediately move in Close next to them. Your next attack is downshifted.	-	Virus Power	Genso Network
Mimesis	Affinity	Cost	Steal someone else's appearance, replacing one stat with theirs.	-	Virus Power	Genso Network
TakeItEasy	Affinity	Roll	Emit your element outwards, healing 1 HP per hit to Near allies.	-	Virus Power	Genso Network
CuddleBug	-	Passive	When allies are Close to your element, downshift their rolls.	-	Virus Power	Genso Network
CoProcessor	Sense	Cost	Upgrade an ally's targeting. They can attack one more range band.	-	Virus Power	Genso Network
ProjectTarget	Coding	Roll	Target an enemy, downshifting X+1 allied rolls against them. X = hits.	-	Virus Power	Genso Network
Myotoxin	Affinity	Cost	Until you lose HP, all Near to you upshift or downshift a chosen skill.	-	Virus Power	Genso Network
Picrotoxin	Affinity	Cost	Spray at a Close target. They lose or gain 2 dice on their next roll.	-	Virus Power	Genso Network
Projection	Affinity	Cost	Put a Guard on an ally. Next time they defend, add your Stamina to their roll.	-	Virus Power	Genso Network
DeepLink	Affinity	Cost	Trap a Near surface; creating a 2 damage freezing blast when touched.	-	Virus Power	Genso Network
HyperLink	Affinity	Cost	Place a hidden normal hazard on a Near entrance.	-	Virus Power	Genso Network
AccessJack	-	Passive	Damaged foes have last-used NCPs/Powers disabled for 3 rolls.	-	Virus Power	Genso Network
DataDump	Sense	Roll	Roll to attack a Near target. Everything Close to the target is also hit. Spreads your element all over target and everything Close on impact.	-	Virus Power	Genso Network
CodeTrail	Affinity	Cost	Make a ranged attack on a grounded Near target.	-	Virus Power	Genso Network
Cutie	-	Passive	Downshift Charm rolls for Close allies.	-	Virus Power	Genso Network
AtAnchor	-	Passive	If you fall a range band, destroy any structure/object you land on.	-	Virus Power	Genso Network
FloodOut	-	Passive	When a structure breaks, spawn a normal hazard of your element.	-	Virus Power	Genso Network
