MysteryData	Type	Value
Uncommon	NCP	CashOut
Uncommon	NCP	Collect
Uncommon	NCP	DataMine
Uncommon	NCP	Diffusal
Uncommon	NCP	EjectButton
Uncommon	NCP	ElemRitual
Uncommon	NCP	PassengerMode
Uncommon	NCP	Pettaur
Uncommon	NCP	RocketFist
Uncommon	NCP	SetElement
Uncommon	NCP	SearchOptimized
Uncommon	NCP	SuperArmor
Uncommon	NCP	Trailblazer
Uncommon	NCP	WaveRider
Uncommon	NCP	Analyze
Uncommon	NCP	Reconfig
Uncommon	NCP	BlindMode
Uncommon	NCP	Sneakrun
Uncommon	NCP	Clear
Uncommon	NCP	ModelEdit
Uncommon	NCP	Playback
Uncommon	NCP	Vengeance
Uncommon	NCP	SystemCall
Uncommon	NCP	CodeInjection
Uncommon	Misc Table	The Navi finds a helpful bit of advice.
Uncommon	Misc Table	The Navi finds a strange, broken device that may be helpful or valuable if fixed.
Uncommon	Misc Table	The Mystery Data is a buggy, disguised Virus that (maybe inadvertantly) helps the Navi.
Uncommon	Misc Table	The Navi finds a part of the server’s log, which says something important about what happened.
Uncommon	Misc Table	The Navi gets a map of the surrounding area with something important highlighted.
Uncommon	Misc Table	The Navi finds a clear warning for a nearby threat.
		
Rare	Zenny	500
Rare	Chip	Recall
Rare	Chip	SpiritSword
Rare	Chip	TimeStopper
Rare	Chip	StepCross
Rare	Chip	BurnSquare
Rare	Chip	GunDelSol
Rare	Chip	DiffusalCannon
Rare	Chip	Prism
Rare	Chip	VesselBlade
Rare	Chip	DoubleEdge
Rare	Chip	MetalGears
Rare	Chip	AquaTower
Rare	Chip	CustSword
Rare	Chip	NOBeam
Rare	Chip	StepCross
Rare	Chip	GeminiLaser
Rare	Chip	Z-Saber
Rare	Chip	DesertLions
Rare	Chip	TurboSlice
Rare	Chip	SwordsDance
Rare	Chip	Catapult
Rare	Chip	Detonator
Rare	Chip	CopyStrike
Rare	Chip	Yo-Yo
Rare	Chip	GunDelSol
Rare	Chip	PressurePoint
Rare	Chip	NorthWind
Rare	Chip	Recharger
Rare	Chip	Slasher
Rare	Chip	Mine
Rare	Chip	BlackBomb
Rare	Chip	Guardian
Rare	Chip	TreeBomb
Rare	Chip	Anubis
Rare	Chip	SilverFist
Rare	Chip	ZeroKnuckle
Rare	NCP	[MindSkill]+1
Rare	NCP	[BodySkill]+1
Rare	NCP	[SoulSkill]+1
Rare	NCP	Mind+1
Rare	NCP	Body+1
Rare	NCP	Soul+1
Rare	NCP	[Stat]+1
Rare	NCP	Custom+3
Rare	NCP	DarkLicense
Rare	NCP	DualPipeline
Rare	NCP	EnergyChange
Rare	NCP	ExecutionUnit
Rare	NCP	FirstBarrier
Rare	NCP	FloatShoes
Rare	NCP	HP+4
Rare	NCP	KineticArmor
Rare	NCP	ParallelPort
Rare	NCP	Press
Rare	NCP	UnderShirt
Rare	NCP	[Stat]+1
Rare	NCP	VolatileMemory
Rare	NCP	RedundantArray
Rare	NCP	SoulUnion
Rare	NCP	AddOn
Rare	NCP	KernelPanic
Rare	NCP	MimicStrike
Rare	NCP	SignatureMove
Rare	NCP	Meltdown
Rare	NCP	Proxy
Rare	NCP	ChameleoCloak
Rare	NCP	TandemMastery
Rare	NCP	[Stat]+1
Rare	NCP	Mega+1
Rare	NCP	[MindPower]
Rare	NCP	[BodyPower]
Rare	NCP	[SoulPower]
Rare	Misc Table	The Navi gets energized, downshifting their next 3 rolls.
Rare	Misc Table	The Navi finds a strange, specialized device that is either helpful or valuable.
Rare	Misc Table	The Mystery Data is a buggy, disguised Virus that (maybe temporarily) allies with the Navi.
Rare	Misc Table	The Navi’s HP is fully restored and used BattleChips are refreshed.
Rare	Misc Table	The Navi finds a Mr. Prog who was hiding, and will insist on assisting the Navi.
Rare	Misc Table	The Navi gains +1EB to their NaviCust.
