Type	Result	Sort	Definition
NPCFirstName	Alice	Core	
NPCFirstName	Afua	Core	
NPCFirstName	Katherine	Core	
NPCFirstName	Rosa	Core	
NPCFirstName	Pepper	Core	
NPCFirstName	Sparky	Core	
NPCFirstName	Masa	Core	
NPCFirstName	Darwin	Core	
NPCFirstName	Amma	Core	
NPCFirstName	Dev	Core	
NPCFirstName	Archie	Core	
NPCFirstName	Bee	Core	
NPCFirstName	Kim	Core	
NPCFirstName	Lisa	Core	
NPCFirstName	George	Core	
			
			
Personality	an enthusiastic	Core	
Personality	a dopey	Core	
Personality	a skeptic	Core	
Personality	a daydreamy	Core	
Personality	a nervous	Core	
Personality	a know-it-all	Core	
			
			
Occupation	student	Core	
Occupation	Official	Core	
Occupation	teacher	Core	
Occupation	businessperson	Core	
Occupation	stay-at-home	Core	
Occupation	artist	Core	
			
			
Feature	their hair	Core	
Feature	their face	Core	
Feature	their clothes	Core	
Feature	their voice	Core	
Feature	their physical mannerisms	Core	
Feature	an item they have	Core	
			
			
NaviHostility	friendliness	Extended	
NaviHostility	hostility	Extended	
NaviHostility	deception	Extended	
NaviHostility	antagonism	Extended	
NaviHostility	bitterness	Extended	
NaviHostility	joyfulness	Extended	
NaviHostility	approval	Extended	
NaviHostility	malice	Extended	
NaviHostility	a killing intent	Extended	
NaviHostility	pride	Extended	
NaviHostility	disgust	Extended	
NaviHostility	elation	Extended	
NaviHostility	great interest	Extended	
NaviHostility	fear	Extended	
NaviHostility	silliness	Extended	
NaviHostility	relief	Extended	
NaviHostility	bravery	Extended	
NaviHostility	dishonesty	Extended	
NaviHostility	curiosity	Extended	
NaviHostility	confusion	Extended	
NaviHostility	envy	Extended	
NaviHostility	mercy	Extended	
NaviHostility	confidence	Extended	
NaviHostility	elegance	Extended	
NaviHostility	love	Extended	
NaviHostility	compassion	Extended	
NaviHostility	coldness	Extended	
NaviHostility	anticipation	Extended	
NaviHostility	chaos	Extended	
NaviHostility	anxiety	Extended	
NaviHostility	annoyance	Extended	
NaviHostility	amazement	Extended	
NaviHostility	narcissism	Extended	
NaviHostility	determination	Extended	
NaviHostility	despair	Extended	
NaviHostility	riches	Extended	
NaviHostility	brutality	Extended	
NaviHostility	hope	Extended	
NaviHostility	unreality	Extended	
