Chip	Dmg	Range	Effect	Category	Tags	Tags In Brackets	Single Description	From?	License	Alias
Slasher	5	Close	If you stand still and don’t move, parry the next melee attack. Unusable outside a parry.	Blade	Guard, Slow	 [Guard, Slow]	If you stand still and don’t move, parry the next melee attack. Unusable outside a parry. [Guard, Slow]	Core		
SpiritSword	2	Close	If this deletes, gain the element Swords for 3 rolls. Roll Strength to summon & manipulate.	Blade			If this deletes, gain the element Swords for 3 rolls. Roll Strength to summon & manipulate.	Core		
Stinger	3	Close	Grow a nasty tail! If they successfully defend with Speed, it gets stuck in a Close surface!	Blade	Piercing, Dangerous	 [Piercing, Dangerous]	Grow a nasty tail! If they successfully defend with Speed, it gets stuck in a Close surface! [Piercing, Dangerous]	Core		
StyleSword	2	Close	A super-stylish sword. Can instead be used to make 3 Charm rolls using your Speed instead.	Blade	Awkward	 [Awkward]	A super-stylish sword. Can instead be used to make 3 Charm rolls using your Speed instead. [Awkward]	Core		
Sword	2	Close	Slash with a bright, razor-sharp blade. It lights up Near surroundings for a few seconds.	Blade	Piercing	 [Piercing]	Slash with a bright, razor-sharp blade. It lights up Near surroundings for a few seconds. [Piercing]	Core	Starter	
TripleRod	3	Close	Extending lance! Spend 1 Speed to do a spin attack, hitting all Close.	Blade	Awkward	 [Awkward]	Extending lance! Spend 1 Speed to do a spin attack, hitting all Close. [Awkward]	Core		
TurboSlice	2	Close	A rocket-blade fueled by the user's energy! Spend 1 Speed to deal +2 damage.	Blade			A rocket-blade fueled by the user's energy! Spend 1 Speed to deal +2 damage.	Core		
VarSword	2	Close	Spend 1 Info to pick 2: is Accurate; is Piercing; upshifts parries; range is Near; hits twice.	Blade			Spend 1 Info to pick 2: is Accurate; is Piercing; upshifts parries; range is Near; hits twice.	Core		VariableSword
VesselBlade	4	Close	You must spend 1 Affinity point. Spreads your element on impact.	Blade			You must spend 1 Affinity point. Spreads your element on impact.	Core		
Z-Saber	2	Close	A glowing teal blade. Spend 1 Soul to charge it up and deal double damage on 2 targets.	Blade			A glowing teal blade. Spend 1 Soul to charge it up and deal double damage on 2 targets.	Core		ZSaber, ZSaver, Z-Saver
										
BronzeFist	2	Close	A parrying gauntlet. Can instead turn the next time you fail a melee parry into a tie.	Impact	Guard	 [Guard]	A parrying gauntlet. Can instead turn the next time you fail a melee parry into a tie. [Guard]	Core	S-License	
BubbleParasol	2	Close	Can instead be used to fall very slowly, make a bubble cloud, or add +2 dice to your next defense.	Impact	Guard, Awkward	 [Guard, Awkward]	Can instead be used to fall very slowly, make a bubble cloud, or add +2 dice to your next defense. [Guard, Awkward]	Core		
ColdPunch	3	Close	Spend 1 Strength to pick 1: upshifts target’s next Body roll; creates ice around your hands.	Impact	Slow	 [Slow]	Spend 1 Strength to pick 1: upshifts target’s next Body roll; creates ice around your hands. [Slow]	Core		
CopyStrike	1	Close	Target copies your stat & skill reductions.	Impact			Target copies your stat & skill reductions.	Core		
DizzyHit	2	Close	A concussive slam that reduces the target’s Mind by 1.	Impact			A concussive slam that reduces the target’s Mind by 1.	Core		
DrillArm	2	Close	A grinding blow that reduces the target’s Stamina by 2.	Impact	Dangerous, Slow	 [Dangerous, Slow]	A grinding blow that reduces the target’s Stamina by 2. [Dangerous, Slow]	Core		
EMPunch	2	Close	Pick 1: temporarily disables Near sensors; target’s speech is temporarily scrambled.	Impact			Pick 1: temporarily disables Near sensors; target’s speech is temporarily scrambled.	Core		
FinalBlow	2	Close	If this deletes a living target, they’re sent flying back, damaging everything in their path.	Impact	Dangerous	 [Dangerous]	If this deletes a living target, they’re sent flying back, damaging everything in their path. [Dangerous]	Core		
FireHit	2x2	Close	Slams the target with two fiery punches.	Impact	Piercing, Dangerous	 [Piercing, Dangerous]	Slams the target with two fiery punches. [Piercing, Dangerous]	Core		
GoldFist	2	Close	If this deletes a living target, their body turns to Zenny (200z per point of Max HP).	Impact	Awkward	 [Awkward]	If this deletes a living target, their body turns to Zenny (200z per point of Max HP). [Awkward]	Core		
GravityHold	2	Near	Manipulate gravity to lift a target into the air, then slam them to the ground.	Impact	Accurate, Awkward	 [Accurate, Awkward]	Manipulate gravity to lift a target into the air, then slam them to the ground. [Accurate, Awkward]	Core		
GutPunch	3	Close	A massive punch that reduces the target’s Stamina by 1 and ignores Guards.	Impact	Slow	 [Slow]	A massive punch that reduces the target’s Stamina by 1 and ignores Guards. [Slow]	Core		GutsPunch
GutStraight	2	Near	Fires a fist through the air that upshifts the target’s next Stamina roll.	Impact			Fires a fist through the air that upshifts the target’s next Stamina roll.	Core	A-License	GutsStraight
Hammer	4	Close	Slam the target with a colossal hammer. Busts through unreinforced material with ease.	Impact	Awkward, Slow	 [Awkward, Slow]	Slam the target with a colossal hammer. Busts through unreinforced material with ease. [Awkward, Slow]	Core		
MagCoil	-	Near	Bring the target into Close range and stun them.	Impact	Piercing, Awkward	 [Piercing, Awkward]	Bring the target into Close range and stun them. [Piercing, Awkward]	Core		
Nullifier	2	Close	Target is temporarily unable to use their element.	Impact			Target is temporarily unable to use their element.	Core		
PercussiveFix	2	Close	Slam with a toolkit! Can also be used to fix a virtual computer or piece of machinery.	Impact	Slow	 [Slow]	Slam with a toolkit! Can also be used to fix a virtual computer or piece of machinery. [Slow]	Core		PercusiveMaintenance
PhantomGrasp	-	Close	On hit, pick 2: target rolls Bravery to not panic; target Mind briefly -1; you are briefly invisible.	Impact	Slow	 [Slow]	On hit, pick 2: target rolls Bravery to not panic; target Mind briefly -1; you are briefly invisible. [Slow]	Core		
Plasma	2	Close	Two orbs of electricity orbit the Navi, striking all enemies in range.	Impact			Two orbs of electricity orbit the Navi, striking all enemies in range.	Core	Starter	
PowerCycle	1	Close	Reboots Viruses, momentarily disabling them and wiping their short-term memory.	Impact	Piercing	 [Piercing]	Reboots Viruses, momentarily disabling them and wiping their short-term memory. [Piercing]	Core		
PressurePoint	2	Close	Spend 1 Info to pick 2: is Piercing; hits twice; isn’t Awkward; upshifts target’s next Body roll.	Impact	Awkward	 [Awkward]	Spend 1 Info to pick 2: is Piercing; hits twice; isn’t Awkward; upshifts target’s next Body roll. [Awkward]	Core		
RiseNShine	1	Close	Target wakes up and downshifts their next Mind roll, even if damage is resisted.	Impact			Target wakes up and downshifts their next Mind roll, even if damage is resisted.	Core		RiseAndShine, Rise&Shine
SilverFist	3	Close	A magic gauntlet! Can instead be used to make 3 Affinity rolls using your Strength instead.	Impact	Awkward, Slow	 [Awkward, Slow]	A magic gauntlet! Can instead be used to make 3 Affinity rolls using your Strength instead. [Awkward, Slow]	Core		
SnakeBite	2	Close	Hand is a snake! Pick 1: is Piercing; upshift target’s next Speed roll; their Bravery is briefly 0.	Impact	Awkward	 [Awkward]	Hand is a snake! Pick 1: is Piercing; upshift target’s next Speed roll; their Bravery is briefly 0. [Awkward]	Core		
TopSpin	3	Close	Spin and hit all Close! Upshift your next roll unless you rest for a bit to stop being dizzy.	Impact	Awkward	 [Awkward]	Spin and hit all Close! Upshift your next roll unless you rest for a bit to stop being dizzy. [Awkward]	Core		
Uninstall	-	Close	Disable an NCP on the target for 5 rolls. Choose alphabetically first or last.	Impact			Disable an NCP on the target for 5 rolls. Choose alphabetically first or last.	Core		
WhirlwindToss	X	Near	Toss a Close enemy into another enemy! Damage to both = thrown enemy’s Body.	Impact			Toss a Close enemy into another enemy! Damage to both = thrown enemy’s Body.	Core		
Windrack	1	Close	A tengu’s hand fan blows the target a range band away! Also removes Guards.	Impact	Accurate	 [Accurate]	A tengu’s hand fan blows the target a range band away! Also removes Guards. [Accurate]	Core		
ZeroKnuckle	3	Close	If you delete an enemy with this, you can use their element for a downshifted Affinity roll.	Impact	Slow	 [Slow]	If you delete an enemy with this, you can use their element for a downshifted Affinity roll. [Slow]	Core	C-License	
										
AreaGrab	-	Near	A forcefield briefly stops enemies from moving a range band away.	Hazard			A forcefield briefly stops enemies from moving a range band away.	Core		
BurnSquare	-	Near	Put a glowing sigil on a surface. When touched, it blasts all Close with 3-dmg Dangerous flames!	Hazard	Awkward, Slow	 [Awkward, Slow]	Put a glowing sigil on a surface. When touched, it blasts all Close with 3-dmg Dangerous flames! [Awkward, Slow]	Core		
Geddon1	-	Near	Surfaces begin to crack, quickly spreading from your feet.	Hazard			Surfaces begin to crack, quickly spreading from your feet.	Core		
Geddon2	-	Near	Structures around you crack and then shatter, one by one.	Hazard	Dangerous, Slow	 [Dangerous, Slow]	Structures around you crack and then shatter, one by one. [Dangerous, Slow]	Core		
Geyser	3	Near	A nearby surface shatters as a geyser erupts from it.	Hazard	Awkward	 [Awkward]	A nearby surface shatters as a geyser erupts from it. [Awkward]	Core		
GhostSeed	-	Near	Throws a seed that spreads the element of the last enemy you deleted.	Hazard			Throws a seed that spreads the element of the last enemy you deleted.	Core	C-License	
Grabby	2	Near	A massive hand pops out of a surface. It grabs the first thing that moves Close to it.	Hazard	Piercing, Slow	 [Piercing, Slow]	A massive hand pops out of a surface. It grabs the first thing that moves Close to it. [Piercing, Slow]	Core	S-License	
Sanctuary	-	Close	Draw a magic sigil on a surface. Any touching it take half dmg (rounded down). Easily erased.	Hazard	Awkward, Slow	 [Awkward, Slow]	Draw a magic sigil on a surface. Any touching it take half dmg (rounded down). Easily erased. [Awkward, Slow]	Core		
IceSeed	-	Near	Throws a large seed that spreads slick ice over everything around the target.	Hazard	Awkward	 [Awkward]	Throws a large seed that spreads slick ice over everything around the target. [Awkward]	Core		
LavaSeed	-	Near	Throws a large seed that spreads gushing lava over everything around the target.	Hazard	Dangerous	 [Dangerous]	Throws a large seed that spreads gushing lava over everything around the target. [Dangerous]	Core		
MagSeed	-	Near	Throws a seed that magnetizes all surfaces around the target.	Hazard	Awkward	 [Awkward]	Throws a seed that magnetizes all surfaces around the target. [Awkward]	Core		
MetalGears	4	Close	Two huge metal gears slowly grind around the floor, crushing anything in their way.	Hazard	Dangerous, Slow	 [Dangerous, Slow]	Two huge metal gears slowly grind around the floor, crushing anything in their way. [Dangerous, Slow]	Core		MetalGear
MetalStage	-	Near	Surfaces of your choice turn to hard metal, resisting damage and conducting electricity.	Hazard			Surfaces of your choice turn to hard metal, resisting damage and conducting electricity.	Core		
Toxic	-	Near	Throws a noxious ball that bursts on impact, creating a cloud of corrosive, poisonous gas.	Hazard	Dangerous	 [Dangerous]	Throws a noxious ball that bursts on impact, creating a cloud of corrosive, poisonous gas. [Dangerous]	Core		
PopUp	-	Close	Creates a foxhole right beneath your feet.	Hazard			Creates a foxhole right beneath your feet.	Core		
Rope	1	Near	Summons a briar patch to ensnare any that step in it.	Hazard	Piercing, Slow	 [Piercing, Slow]	Summons a briar patch to ensnare any that step in it. [Piercing, Slow]	Core		
SandRing	1	Close	A hidden pitfall trap forms in front of you.	Hazard	Slow	 [Slow]	A hidden pitfall trap forms in front of you. [Slow]	Core	A-License	
Springboard	-	Close	An easily-concealable springboard launches targets a range band when stepped on.	Hazard			An easily-concealable springboard launches targets a range band when stepped on.	Core		
WaterSeed	-	Near	Throws a large seed that spreads rushing water over everything around the target.	Hazard	Awkward	 [Awkward]	Throws a large seed that spreads rushing water over everything around the target. [Awkward]	Core		
Whirlpool	-	Close	Summons a vortex to slowly drag targets in.	Hazard	Slow	 [Slow]	Summons a vortex to slowly drag targets in. [Slow]	Core		
WhiteWeb	-	Near	Shoots a large, sticky web.	Hazard	Slow	 [Slow]	Shoots a large, sticky web. [Slow]	Core		
WoolSeed	-	Near	Throws a seed which sprouts a big, fluffy blob of wool that can cushion any impact.	Hazard			Throws a seed which sprouts a big, fluffy blob of wool that can cushion any impact.	Core		
										
AquaWhirl	2	Near	Move into Close range and leave water behind! Your next roll covers the target with water.	Rush			Move into Close range and leave water behind! Your next roll covers the target with water.	Core		
Arrow	3	Near	Dash forward, skewering everything in your way until you hit a wall, getting stuck in it for a bit.	Rush	Dangerous, Piercing	 [Dangerous, Piercing]	Dash forward, skewering everything in your way until you hit a wall, getting stuck in it for a bit. [Dangerous, Piercing]	Core		
BlizzardBall	1+X	Near	Roll into a giant snowball and bowl the target over! X=number of allies with you in the ball.	Rush	Awkward, Dangerous	 [Awkward, Dangerous]	Roll into a giant snowball and bowl the target over! X=number of allies with you in the ball. [Awkward, Dangerous]	Core		
Condor	3	Far	Wind up, then rocket into the distance! -2 damage if target is not Far.	Rush	Accurate, Slow	 [Accurate, Slow]	Wind up, then rocket into the distance! -2 damage if target is not Far. [Accurate, Slow]	Core		
CurseShield	-	Near	On your next ranged defense: take half dmg (rounded down) and zoom Close to the attacker.	Rush	Guard, Simple	 [Guard, Simple]	On your next ranged defense: take half dmg (rounded down) and zoom Close to the attacker. [Guard, Simple]	Core		
DashAttack	2	Near	Fly through the air Close to the target!	Rush			Fly through the air Close to the target!	Core	Starter	
FootStomp	2	Near	Jump onto and crush an enemy. Spend 1 Speed to add another target in range of the enemy.	Rush			Jump onto and crush an enemy. Spend 1 Speed to add another target in range of the enemy.	Core		
GoingRoad	-	Near	Lead the way on a glowing path! The user and all Close allies move a range band together.	Rush			Lead the way on a glowing path! The user and all Close allies move a range band together.	Core		
IronShell	2	Near	Roll into Close range and collide. Your next defense roll is downshifted.	Rush	Guard, Awkward	 [Guard, Awkward]	Roll into Close range and collide. Your next defense roll is downshifted. [Guard, Awkward]	Core		
LineOut	2	Near	Dash into Close range. If you dash through an object, it is destroyed.	Rush	Dangerous	 [Dangerous]	Dash into Close range. If you dash through an object, it is destroyed. [Dangerous]	Core		
MetaGel	2	Near	Turn to jelly and splash into Close range. Your body is solid again after a minute.	Rush			Turn to jelly and splash into Close range. Your body is solid again after a minute.	Core	S-License	
PowerSlide	2	Near	A sliding kick. You can deal -1 damage to trip the target, making them fall over.	Rush	Accurate, Awkward	 [Accurate, Awkward]	A sliding kick. You can deal -1 damage to trip the target, making them fall over. [Accurate, Awkward]	Core		
Pyrotechnics	3	Close	Dash a range band in any direction. A few seconds later, your starting position explodes.	Rush	Dangerous, Slow	 [Dangerous, Slow]	Dash a range band in any direction. A few seconds later, your starting position explodes. [Dangerous, Slow]	Core		
Quake	2	Near	Leap into the air and slams down in Close range, staggering anyone Close to your landing.	Rush	Piercing, Dangerous	 [Piercing, Dangerous]	Leap into the air and slams down in Close range, staggering anyone Close to your landing. [Piercing, Dangerous]	Core		
RadicalGrind	2	Near	Grind an edge and ram the target! Pick 1: downshift your next Speed, Charm, or Bravery roll.	Rush	Awkward	 [Awkward]	Grind an edge and ram the target! Pick 1: downshift your next Speed, Charm, or Bravery roll. [Awkward]	Core		
Recharger	2	Near	Dash into Close range. If this deletes the target, clear 1 point of stat/skill reduction you have.	Rush			Dash into Close range. If this deletes the target, clear 1 point of stat/skill reduction you have.	Core		
RewindDash	-	Near	Move a range band; damaged structures/objects you touch are returned to their original state.	Rush			Move a range band; damaged structures/objects you touch are returned to their original state.	Core		
RocketTackle	2	Close	Move yourself and the target a range band together.	Rush	Awkward	 [Awkward]	Move yourself and the target a range band together. [Awkward]	Core		
RollFlash	2	Near	Warp Close to the target and whip them! Spend 1 Charm: Heal a Near ally 2 HP.	Rush			Warp Close to the target and whip them! Spend 1 Charm: Heal a Near ally 2 HP.	Core	A-License	
SandWorm	2	Near	Tunnel through the ground and burst out under the target into Close range.	Rush	Accurate, Awkward	 [Accurate, Awkward]	Tunnel through the ground and burst out under the target into Close range. [Accurate, Awkward]	Core		
ShiningArmor	-	Close	Pick up a target and move a range band. Your next Charm roll on the target is Easy.	Rush			Pick up a target and move a range band. Your next Charm roll on the target is Easy.	Core		
ShortCircuit	1	Near	Turn into a spark and zip through conductive material; anything you touch is stunned.	Rush	Awkward, Dangerous	 [Awkward, Dangerous]	Turn into a spark and zip through conductive material; anything you touch is stunned. [Awkward, Dangerous]	Core		
StepCross	-	Near	Next time an ally is attacked by a melee attack, warp in between and parry with a 3-dmg slash.	Rush	Guard	 [Guard]	Next time an ally is attacked by a melee attack, warp in between and parry with a 3-dmg slash. [Guard]	Core		
StepSword	3	Near	Teleports you forward for a single slice, then you go back.	Rush			Teleports you forward for a single slice, then you go back.	Core		
Stringer	-	Near	Dash to 2 targets Close to each other; if both are hit, you tie them together!	Rush	Piercing, Awkward	 [Piercing, Awkward]	Dash to 2 targets Close to each other; if both are hit, you tie them together! [Piercing, Awkward]	Core		
SwordsDance	X	Near	Slot in a Blade chip, dash into Close range; the chip hits the target & everything in-between.	Rush	Simple	 [Simple]	Slot in a Blade chip, dash into Close range; the chip hits the target & everything in-between. [Simple]	Core		SwordDance
TurboTire	3	Near	Roll into Close range on a flaming wheel; the wheel burns and bounces around afterwards.	Rush	Dangerous	 [Dangerous]	Roll into Close range on a flaming wheel; the wheel burns and bounces around afterwards. [Dangerous]	Core		
Vault	-	Far	Fly into the air! A wind burst shoves everything that’s Close to your launch point away.	Rush			Fly into the air! A wind burst shoves everything that’s Close to your launch point away.	Core	C-License	
WebSurfer	2	Near	Surf a range band! Surfing over a liquid (e.g. acid; lava) lets you briefly part it, making a path.	Rush	Awkward	 [Awkward]	Surf a range band! Surfing over a liquid (e.g. acid; lava) lets you briefly part it, making a path. [Awkward]	Core		
YokuTrail	-	Near	Dash a range band through the air, leaving a trail of platforms that will disappear in a minute.	Rush			Dash a range band through the air, leaving a trail of platforms that will disappear in a minute.	Core		
										
AirShot	1	Near	Pushes the target back one range band.	Shot			Pushes the target back one range band.	Core	Starter	
AtomicFire	1+X	Near	Overheat a chaotic fireball! Sacrifice up to 4 HP to add that much damage.	Shot	Dangerous	 [Dangerous]	Overheat a chaotic fireball! Sacrifice up to 4 HP to add that much damage. [Dangerous]	Core		
Boomer	2	Near	Must spend 1 Sense. Hit up to 3 targets Near each other. Leaves a trail of vines in its wake.	Shot			Must spend 1 Sense. Hit up to 3 targets Near each other. Leaves a trail of vines in its wake.	Core		
Bubbler	2	Near	Creates a cloud of soaking, vision-obscuring bubbles around the target.	Shot			Creates a cloud of soaking, vision-obscuring bubbles around the target.	Core	Starter	
Cannon	2	Near	Transforms a part of the Navi into a high-velocity cannon.	Shot	Accurate	 [Accurate]	Transforms a part of the Navi into a high-velocity cannon. [Accurate]	Core	Starter	
Catapult	-	Near	Slot in a Thrown chip; it has Shot chip properties and +1 damage to its first hit.	Shot	Simple	 [Simple]	Slot in a Thrown chip; it has Shot chip properties and +1 damage to its first hit. [Simple]	Core		
ConcreteShot	2	Near	Creates a large stone cube Close to the target, even if the target fully defends.	Shot	Awkward	 [Awkward]	Creates a large stone cube Close to the target, even if the target fully defends. [Awkward]	Core		
CornShot	3	Near	Fires a high-impact cob of corn. Briefly changes the target’s element to Corn.	Shot	Awkward	 [Awkward]	Fires a high-impact cob of corn. Briefly changes the target’s element to Corn. [Awkward]	Core		
CrackShot	3	Near	Breaks and tosses the floor in front of you.	Shot	Dangerous	 [Dangerous]	Breaks and tosses the floor in front of you. [Dangerous]	Core		
CurtainFire	3	Near	Fires a dazzling array of bullets. Downshift your first Charm roll with anyone who sees it.	Shot	Awkward, Slow	 [Awkward, Slow]	Fires a dazzling array of bullets. Downshift your first Charm roll with anyone who sees it. [Awkward, Slow]	Core		
Detonator	1	Near	If the next attack deletes the target, they violently explode, dealing 4 damage to all Close.	Shot			If the next attack deletes the target, they violently explode, dealing 4 damage to all Close.	Core		
DiffusalCannon	X	Near	Add 1 damage for every stat and skill point reduction you have. Max 5.	Shot			Add 1 damage for every stat and skill point reduction you have. Max 5.	Core	A-License	
Drain	2	Near	Fires needles that heal for damage done.	Shot			Fires needles that heal for damage done.	Core		
DrillBomb	2	Near	Exploding drill! Breaks through unreinforced objects in the way of the target (e.g. walls).	Shot	Piercing, Dangerous	 [Piercing, Dangerous]	Exploding drill! Breaks through unreinforced objects in the way of the target (e.g. walls). [Piercing, Dangerous]	Core		
GeminiLaser	3	Near	A bouncing laser. If the target successfully defends with Speed, the beam attacks one more target.	Shot	Slow	 [Slow]	A bouncing laser. If the target successfully defends with Speed, the beam attacks one more target. [Slow]	Core		
Grappler	1	Near	Drags the target into Close range.	Shot			Drags the target into Close range.	Core	C-License	
HeatShot	2	Near	Creates an explosion of flame around the target.	Shot			Creates an explosion of flame around the target.	Core	Starter	
Highlighter	1	Near	Downshift the next two attacks against the target.	Shot			Downshift the next two attacks against the target.	Core		
HomingTorpedo	1	Far	Defending against this attack is always Hard. Can find and hit invisible targets.	Shot			Defending against this attack is always Hard. Can find and hit invisible targets.	Core		
IceSlasher	2	Near	Enemies deleted by this turn into frozen blocks shortly afterwards.	Shot			Enemies deleted by this turn into frozen blocks shortly afterwards.	Core	S-License	
LavaCannon	3	Near	Add +1 damage if there’s fire/lava within Near range.	Shot	Dangerous	 [Dangerous]	Add +1 damage if there’s fire/lava within Near range. [Dangerous]	Core		
MarkCannon	2	Far	Snipe with a lock-on rifle! Spend 1 Sense to make this chip able to find invisible targets.	Shot	Accurate, Slow	 [Accurate, Slow]	Snipe with a lock-on rifle! Spend 1 Sense to make this chip able to find invisible targets. [Accurate, Slow]	Core		
MetalBlade	2	Near	For every Speed point you spend, hit another target.	Shot			For every Speed point you spend, hit another target.	Core		
NeedleCannon	1x4	Near	Fire a volley of tiny needles.	Shot	Accurate	 [Accurate]	Fire a volley of tiny needles. [Accurate]	Core		
ShotGun	2	Near	Fires an explosive shot that upshifts the defense of targets hiding behind cover.	Shot			Fires an explosive shot that upshifts the defense of targets hiding behind cover.	Core		
TankCannon	3	Near	Creates an environment-shattering explosion, even if the target fully defends.	Shot	Piercing, Dangerous, Slow	 [Piercing, Dangerous, Slow]	Creates an environment-shattering explosion, even if the target fully defends. [Piercing, Dangerous, Slow]	Core		
Thunder	2	Near	If the target is a Navi, random electronics Near their PET experience power fluctuations.	Shot	Dangerous, Slow	 [Dangerous, Slow]	If the target is a Navi, random electronics Near their PET experience power fluctuations. [Dangerous, Slow]	Core		
VarGun	2	Near	Spend 1 Info to pick 2: is Accurate; is Piercing; range is Far; covers target with your element.	Shot			Spend 1 Info to pick 2: is Accurate; is Piercing; range is Far; covers target with your element.	Core		VariableGun
Yo-Yo	2x2	Near	Shoot a razor yo-yo! Spend 1 Sense to make this Piercing.	Shot			Shoot a razor yo-yo! Spend 1 Sense to make this Piercing.	Core		YoYo
ZapRing	1	Near	Stuns the target for one second.	Shot			Stuns the target for one second.	Core	Starter	
										
AirRaid	-	Near	A little fighter plane fires on enemies, adding +1 die to your attack rolls. Can be destroyed.	Summon			A little fighter plane fires on enemies, adding +1 die to your attack rolls. Can be destroyed.	Core		
Anubis	-	Close	Summons a sinister statue in front of you. All Near it upshift all defense rolls.	Summon	Dangerous	 [Dangerous]	Summons a sinister statue in front of you. All Near it upshift all defense rolls. [Dangerous]	Core		
Candle	-	Close	Creates a large candle that heals you 1 HP every time you’re attacked.	Summon	Guard	 [Guard]	Creates a large candle that heals you 1 HP every time you’re attacked. [Guard]	Core		
Catcher	-	Near	On next full defense vs. a chip, get a copy in your Folder until jack-out.	Summon	Guard, Slow	 [Guard, Slow]	On next full defense vs. a chip, get a copy in your Folder until jack-out. [Guard, Slow]	Core		
Decoy	-	Near	Summons a hologram of you directly in front of yourself in any pose.	Summon			Summons a hologram of you directly in front of yourself in any pose.	Core		
ElecReel	2	Close	Summons a hidden electric tripwire that shocks the next thing that touches it.	Summon			Summons a hidden electric tripwire that shocks the next thing that touches it.	Core		
FireRat	-	Close	A seeking bomb! When set on fire, scuttles to a Near target and explodes, dealing 4 damage.	Summon	Accurate	 [Accurate]	A seeking bomb! When set on fire, scuttles to a Near target and explodes, dealing 4 damage. [Accurate]	Core		
GhostGloves	-	Near	Floating gloves mimic your hands, even if out of sight. Can’t cause damage.	Summon	Awkward	 [Awkward]	Floating gloves mimic your hands, even if out of sight. Can’t cause damage. [Awkward]	Core	A-License	GhostGlove
GreenCarpet	-	Close	A magic carpet flies ahead, leaving a trail of grass and gliding over traps. Lasts 1 minute.	Summon			A magic carpet flies ahead, leaving a trail of grass and gliding over traps. Lasts 1 minute.	Core		
Guardian	-	Close	Summons a tiny statue that zaps the first thing to damage it, dealing 4 damage.	Summon	Slow	 [Slow]	Summons a tiny statue that zaps the first thing to damage it, dealing 4 damage. [Slow]	Core		
Insert	-	Close	Creates a large amount of a Near ally’s element.	Summon	Slow	 [Slow]	Creates a large amount of a Near ally’s element. [Slow]	Core	C-License	
