Command	Alias	Type	Hidden?	Ruling?	Response
session0		Reminders (Base)	FALSE		__**Session Zero**__\nBefore your first session, hold a "Session Zero" where you and your players can talk about expectations, ideas, and desires. This is also a time to get everyone together for character creation, and to help create a party dynamic. The following are some important areas to hit on when playing NetBattlers - work together on each section!\n__**Tone**__\nEveryone should be clear on a campaign's tone. For example, if you're emulating the colorful and cartoony tone of the Battle Network games, edgy and grim player characters will feel out of place. Keeping everyone on the same page will help everyone feel like their character belong.\n\n__**Safety Tools**__\nSometimes, stories go to places people aren't ready for. Safety tools help people avoid and process discomfort. No safety tool is one-size-fits-all, but every table should use at least one. Some examples:\n- **Lines and Veils, by Ron Edwards**: Before play, everyone writes Lines (content that will not come up during play) and Veils (content that will happen "off-screen" and with little detail). Check in time to time to see if people have additions or changes.> - **The X-Card, by John Stavropoulos**: Before play, the GM puts a card with an X drawn on it on the table. Whenever someone is uncomfortable with something in play, they can tap or hold up the card, no explanation needed. It doesn't matter why. The story then continues, removing whatever was X-Carded. If there are any issues, players can take a break and talk privately. (Read the original, full text of the X-Card here: <http://tinyurl.com/x-card-rpg>) \n- **Breaks**: After long or intense sections, take a break to cool off, stay focused, and process everything that's happened so far. Before play resumes, check in to see how everyone's feeling.\n_For a breakdown of additional safety tools and commands built into ProgBot, refer to `help safetytools`._\n\nFor a continued explanation, refer to `help session0ex`.
session0ex		Reminders (Base)	TRUE		__**Goals and Wishes**__\nAsk what everyone wants from the game. Some people love combat, while others just want character drama. Some want hard challenges, while others want the leeway to make bad choices. Catering to everyone's goals - yourself included - keeps the table engaged.\n\n__**Character Creation and Party Dynamic**__\nWhile creating characters on your own time can be more time efficient, spending part of Session Zero making characters together can help forge a good group dynamic from the get-go, avoiding first session awkwardness and getting players excited to play. Use the starting Bonds as a springboard for a greater conversation about how the different player characters get along.\n\n_Relationship Kickstarters_: Need help with your party dynamic? Take turns suggesting relationship types between characters. Keep them short and sweet, and let everyone suggest at least two. Here are some examples:\n- Best friends, but also rivals\n- Inseparable siblings\n- One used to bully the other\n- Mentor and mentee\n- One has a crush, the other is completely oblivious
					
hitpoints	hp, maxhp, deletion, delete, backup, ko, forcejackout	Reminders (Base)	FALSE		__**Hit Points**__, or **HP**, measure how fighting fit a character is. **Maximum HP starts at Body + Stamina + 5**. (When a character's Stamina or Body is temporarily changed, their HP is unaffected.)\n\nSpending your own HP to activate an effect **does not** count as taking damage, and it does not allow a defense roll.\n\nWhen a human's HP hits zero, they pass out. When a Navi hits zero HP, the attacker picks if they're KO'd, forcibly jacked out, or deleted.\n\n**Deletion** can mean different things depending on the tone of the story, ranging from permanent death, to the inconvenience of getting backup data. Everyone at the table should feel comfortable with deletion's repercussions, including getting a say about if/when their Navi faces deletion.
rangebands	rangeband, range, distance, close, near, far	Reminders (Base)	FALSE		There are three **range bands** used to measure distance between targets: **Close**, **Near**, and **Far**.\n\n- **Close**: Arm's reach. Melee attacks can only land in Close range.\n- **Near**: Speaking distance. Ranged attacks land normally when Near.\n- **Far**: Shouting distance. Ranged attacks are upshifted at Far range.\n\n**An item or power's listed range** is usually the maximum range, and can still be used against those in a closer range band.  **Skills/Powers without clear range limitations** can work at any range, though longer ranges often make them more difficult, especially when trying to do things quickly and/or accurately.\n\nMoving a range band only requires a Speed roll if it's especially dangerous and/or time-sensitive. Some effects directly prevent a target from moving range bands; however, this does not prevent others from moving them. 
charge		Reminders (Base)	FALSE		When you roll hits that have no narrative consequence, convert the extra hits to **Charge**. Each Navi can store up to **3 Charge** at a time.\n\nExamples of scenarios that can grant Charge include:\n- Attacks (rolled or chips) whose damage exceeds the target’s HP. (1 Charge per extra point of damage.)\n- Defense rolls that exceed the attack’s damage. (1 Charge per extra hit.)\n- Non-combat opposed rolls where one side wins by 2+ hits\n- Critical successes, especially with 4+ hits. (Whether to grant a narrative benefit or Charge is always up to the Game Master.)\n\nImmediately after a Navi rolls, they can `spend X Charge` to increase the result of a die by `1`, `X times`. When a Navi **assists** another Navi’s roll, in addition to potentially downshifting the roll, they can spend Charge for that roll. **NetOps** can also spend Charge if their player explains how their Navi is assisting them.\n\nUnlike most things, Charge **does not** reset immediately upon jacking out. It gradually reduces over time, draining from full to empty over a **few hours** outside of high-tension scenarios.
parry	parries, parrying, parrythisyoufuckingcasual	Reminders (Base)	FALSE		A character can try to resist a melee attack with a melee attack of their own, called a __**parry**__. Both parties roll using the appropriate skill, likely Strength. Whoever has the most hits wins, and the loser takes damage equal to the winner’s roll. This damage is not reduced by how many hits the loser rolled. (Note: parries are affected by anything that modifies **either attacking or defending**.)\n\nIf the two characters **tie**, they have a choice: **back out** or **escalate**. Both parties should declare this simultaneously.\n- If **both back out**, nobody takes damage and the parry ends.\n- If **one escalates and the other backs out**, the parry ends and the one that backed out is the loser.\n- If **both parties escalate**, roll to melee attack each other again. Whoever rolls higher is the winner, unless they tie; in which case, the cycle continues until someone comes out on top. \n\nUnless both back out, when the parry ends, the loser **takes damage equal to the winner’s strongest attack**. However, if the loser backed out, they take half the damage they normally would, rounded up. Secondary effects (e.g. stunning) do not activate until after the parry resolves.\n\nFor parrying edge cases and clarifications, try `help parry ex`!
flow	actionflow, gameflow, flowofaction	Reminders (Base)	TRUE		__**Action Flowchart**__\n> **1.** The GM makes the scene's Spotlight Checklist\n> **2.** The GM details the scene\n> **3.** The GM asks who wants to go first (or picks a player)\n> **4.** Two/three threats progress\n> **5.** The spotlight player acts\n> **6.** Mark the spotlight player off the Spotlight Checklist. If every player is marked off, the checklist refreshes\n> **7.** The spotlight player picks who goes next\n> **8.** Return to Step 4.\n\nKeep scenes fast and cinematic! Don't worry about exactly where or how far away everything is. It's way more important to stay creative and have fun describing your Navi leaping through the air and blasting a Virus with an earth-shaking KABOOM!\n\nFor information on the **Spotlight Checklist**, see `help spotlight`!\nFor information on the **Threat Progression** model, see `help threats`!
spotlight	spot, checklist	Helpers	FALSE	spotlightruling	This command starts a __**Spotlight Checklist**__ that you can update with commands.
spotlightchecklist		Reminders (Base)	TRUE	spotlightruling	
spotlightex	spotlightexplanation, interrupt	Reminders (Base)	TRUE		There are situations in which player actions do not mark them off the **Spotlight Checklist**:\n- **Being acted upon** by an outside force (e.g. rolling to defend) does not advance the Spotlight Checklist.\n- The few effects that allow players to **act immediately** (e.g. the Support BattleChip called Reflex) do not advance the Spotlight Checklist either.\n\nGMs may encounter players that want to hop in on other players' Spotlight turns to assist them. While players **cannot circumvent** the Spotlight Checklist, they can instead spend their time in the spotlight **preparing narrative assets** to assist their allies. (e.g. tossing a critical item to whichever player comes next; prepping a lightshow to dazzle the opposition.) GMs should encourage players to set up resources for their allies so, when players outside the spotlight want to help, they can point to things already in the scene instead of inadvertently trying to steal the spotlight.
threats	threat, threatprogression, ready, aim, fire, raf	Reminders (Base)	FALSE		As the **Spotlight Checklist** progresses, enemies, hazards, and other threats will also act. When a new player takes the spotlight, before they act, the GM describes how two or three threats progress with **Ready**, **Aim**, and **Fire**.\n\n- **A threat is __Ready__** when the GM has clearly introduced it into the scene. GMs can introduce new threats into the scene at the start of a player's turn by describing its entrance, making it Ready. Threats only need to be **Ready** once.\n- **A threat is __Aimed__** when it foreshadows an action it's about to take. When a GM makes a threat **Aim**, players should know it's immediately important, even if the exact details are obscured. Threats **cannot Aim** if they are not Ready. Players **can interrupt** Aimed threats to set them back to Ready, though for Viruses and other animate threats, *simply taking damage is not enough to interrupt an attack*.\n- **A threat is __Fired__** when it acts, interrupting the player's spotlight to directly threaten one or more players. If a _Virus_ Aims to attack a player, when it Fires, it makes the attack roll. If an _environmental hazard_ Fires, it forces the targeted player to immediately react on the defensive. Threats **cannot Fire** until they **Aim**. After Firing, threats are no longer Aimed.\n\nA single threat cannot progress multiple times in the same player turn. When players are forced to roll due to threats Firing, it does not mark them off the Spotlight Checklist.\nOccasionally, a single character can create multiple threats. However, even in these cases, the GM should try to differentiate how the character is preparing the threats. (e.g. the big villain is charging up their shoulder-mounted cannons as they throw a chunk of scenery at a player.)\n\nWhen the action ends, the GM can stop using the Spotlight Checklist.\n_Remember: Readying and Aiming a threat doesn't mean you need to show all your cards!_
chip	chips	Lookups	FALSE	chipruling	This command can display info on __**BattleChips**__. It can also search for all BattleChips from a specific category, with a specific tag, Crossover Content source, or in a specific license.
battlechip	battlechips	Reminders (Base)	TRUE	chipruling	
effects	secondaryfx, stacking, effect, sfx, effectstacking, secondaryeffects, temporaryeffects, temporaryeffect, buff, debuff, buffs, debuffs	Reminders (Base)	FALSE		Some attacks have temporary **secondary effects** in addition to damage, such as stunning or moving the target. When defending, **rolling equal to the attack's damage** will still trigger the effect, even though all damage was resisted. The defender must **roll an extra hit to resist the full attack**, effect included. Rolling just enough hits to resist the full attack counts as a tie.\n\n__**Additional Rulings**__\n- If effects have **different sources**, they can stack. Otherwise, only one instance of the effect can affect the target at once. (Effects are considered identical based on their source, with "source" referring to the specific Navi Power/BattleChip/etc that created the effect.)\n- Activating an effect with a limited duration **while the effect is already active** refreshes its duration.\n- **Roll-based durations** include defense rolls. Rerolls do not decrease roll-based durations. (Defense against multi-hit attacks also only count as one roll.)\n- When **spending** skills or stats to activate effects, **drain temporary bonuses** first.\n- Stat/skill bonuses from **outside sources** do not update to reflect changes to the outside source. Likewise, changing stat/skill bonuses from an outside source does not copy those changes onto the source.
multihit	multi-hit	Reminders (Base)	FALSE		Some attacks hit multiple times, and are called __**multi-hit**__ attacks. Multi-hit attacks are written as [hit damage]x[number of hits]. (For example, if something is written as "1x4 damage", that means it deals 1 damage 4 times.) When defending against a multi-hit attack, the defender rolls once and uses that value to defend against each hit. \n\n__**Additional Rulings**__\n- **Guard chips** block each hit of a multi-hit attack separately.\n- Defending against a multi-hit attack only decreases **roll-based durations** once.\n- When **parrying** a multi-hit attack, one hit lands each parry round. If the multi-hit user wins, any hits left land too; if they lose (or tie or back off), remaining hits don't trigger; if they tie and escalate, the next round uses the attack's next hit, if any remain.
target	targeting, targetingterms, someone, something, ally, enemy, targets, allies, enemies	Reminders (Base)	TRUE		__**Targeting Terms**__\nWhen chips, NCPs, and such describe what they can affect, they use these terms:\n- **Target:** Anything but you.\n- **Someone:** Any living being.\n- **Object:** An inanimate thing.\n- **Ally:** Anyone alive you're cooperating with.\n- **Enemy:** Anyone alive you're directly opposing.\n_Note:_ Only Navis & Viruses can count as allies or enemies.\n
folder	chipfolder, battlechipfolder	Reminders (Base)	FALSE		A Navi's __**Folder**__ is the list of pre-selected chips they can use. You can only modify your Folder when jacked out.\nYour PET's folder space is determined by your **Navi Info + 5**. By default, **Folders may not have duplicate BattleChips or more than 1 MegaChip**, unless explicitly stated otherwise.\n\nWhen you jack in, you can use chips in your Folder in any order. You can use each chip once before jacking out. When you jack out, all chips are refreshed for use next time you jack in. Chips outside of your Folder are unusable. If you acquire a BattleChip while jacked in, you can only add it to your Folder if your Folder is not full.
tag		Lookups	FALSE		This command pulls up the description for a __**Tag**__ or __**Category**__.\n\nViruses and Battlechips have **Tags** and **Categories** that determine how they behave or work in battle. For a list of them, try `chip tags` / `chip categories` and `virus tags`/`virus categories`!
download	virusdownload, chipdata	Reminders (Base)	FALSE		After deleting a Virus, a Navi can try to capture its attack data. The difficulty depends on the following criteria:\n- The Navi began to process the Virus immediately after deletion.\n- The Virus was deleted quickly.\n- The Virus did minimal damage.\nIf none are true, there will not be enough data to piece together anything usable.\n\nFor **__NetOp/Navi pairs__**, the Navi may attempt to send data to a Blank BattleChip by rolling **Navi Coding**. If all 3 criteria are met, the roll is Easy; if 2, Normal; and only 1, Hard. Outside circumstances may make the roll more difficult (e.g. trying to write to a Blank BattleChip while in active combat.)\n\n- On a **mixed success**, the BattleChip may not be the data you were looking for (Zenny, a different BattleChip, useful info). \n- On a **full success**, the Blank BattleChip contains a chip listed on the Virus's drops. \n- On a **critical success**, the Navi may choose which of the Virus's chips to receive, and/or get extra data with the BattleChip, immediately usable. \n- On a **failure**, treat as a mixed success, but something bad happens...\n\nFor ** __Independent Navis__** don’t roll to download Virus attack data. Instead, they **always get a chip on deletion**, with the number of uses equal to the number of difficulty critera met.\n\nDownloaded data from **Equipped** Viruses includes the equipped chip on success (and include a tell, too!).
finaleroll	finale	Reminders (Base)	FALSE		If one side has the upper hand and the conflict's reached a forgone conclusion, it's time for a **__Finale Roll__**! The winner outlines the **outcome** they want, while the loser presents a **complication**. Then, everyone makes one final action and sums the **Hits**; the side with the most Hits wins and has their outcome/complication happen! *(Difficulty depends on how well-suited the roll is for the outcome. Ties go to the upper hand.)*\n- **Cost Powers** and **Chips** add 1-3 Hits, depending on how well-suited for the situation they are. Light **Hazards** add 2 Hits, Normal add 4, and Extreme add 6!\n- **Viruses** independently choose to **Fight** (Bravery, attack) or **Flight** (Bravery, Speed, escape), then sum all their hits!  If they win:\n  - Those who Fight deal their total damage to one target (downshift to let the losers distribute damage)\n  - Those who Flight usually have a plan or goal for after! (Downshift to drop your data on the way.)
					
netop	kid, kidstats, kids, kidstat, kidnetop, kidnetops, netopstats, netops, child, childstats, childstat	Reminders (Base)	FALSE		**__NetOps__** are real-world people that use Navis.\n**__Kid__** NetOp **stats** start at 2 by default. Choose one stat and set it to 1.\nNetOp **skills** start at 0 by default. Choose two skills and set them to 1. Choose two other skills and set them to 2.\nMaximum **HP** starts at **Body + Stamina + 5**.\nNetOps also start off with **one Talent**. Use `help talent` for more details!\n\nBy default, NetOps start with **4 starter BattleChips**. Try `chip starter` for a list!
talents	talent	Reminders (Base)	FALSE		NetOps have __**Talents**__: one for Kids, two for Teens, and three for Adults. Talents can be any area of expertise or interest. They should be general enough that they could organically come up (e.g. “Theater,” not “Ancient Opera”), but not so general that they apply more often than they don’t (e.g. “Judo,” not “Fighting”).\n**Once per session**, a NetOp can turn a failure/mixed success into a full success if it falls under their Talent. **__This only applies to NetOp rolls.__**
navi	navis, navistats, navistat, naviskills, naviskill, startingstats	Reminders (Base)	FALSE		Short for Internet Navigator, __**Navis**__ are digital people capable of manipulating electronic devices.\nNavis set one **stat** to 1, one to 2, and one to 3.\nNavi **skills** start at 0 by default. Choose two skills and set them to 1. Choose two skills and set them to 2. Set another skill to 3.\nMaximum **HP** starts at **Body + Stamina + 5**. **Folder Size** starts at **Info + 5**. \nWhen creating a Navi, choose any **three Navi Powers**. You can use `help powers` for more details.\nFinally, pick an **element** for your Navi. Use `help element` for more guidance on how to pick your element.
element		Rollers	FALSE	elementruling	This command rolls random __**elements**__ from the Element Generation table. Type `element` for more details.
power	powers	Lookups	FALSE	powerruling	This command can display Navi and Virus __**Powers**__. It can also search powers by type, such as Navi Sense/Cost and Virus Passive. Type `power` to learn more!
					
prog	progs	Reminders (Base)	FALSE		Us __**Progs**__ are peppy little workers that keep the world’s computers running. We're designed for all kinds of purposes, with most everyday things containing multiple Progs. A single vending machine could have half a dozen Progs inside — it’s a lot of work to manage inventory, perform maintenance, and say "thank you for your purchase!"\n\nDue to our one-track minds, Progs are often naive and oblivious. However, they’re still individuals with their own quirks — and often their own **hats**!
servers	server, console, consoles, controlpanel, controlpanels, panel, panels	Reminders (Base)	FALSE		Most computers primarily exist to manage real-world objects. In the digital space, they have **control panels** - often hidden, guarded with force, and/or unable to access without authorization. In the real world, systems have **exterior consoles**, with restricted physical access and login credentials. Consoles can show the server from different angles, can manipulate the server layout, and/or enable/disable features inside.
mirrordata	mirror, mirrors	Reminders (Base)	FALSE		**Mirror Data** is data linked to a real-world equivalent that often (but not always!) looks exactly like its real-world counterpart. Sometimes it's there to make controlling the counterparts easier, while other times it's an inadvertent byproduct of the server's structure. It's usually **two-way**; by searching for objects linked to Mirror Data, NetOps can indirectly assist their Navis (and vice-versa).
link	links	Reminders (Base)	FALSE		**Links** are a simple way to cut down on travel time on the internet, teleporting Navis from one end to the other. Some are **one-way**, **password**-protected, or even linked **between servers**. They’re used by practically everyone: best friends link each others’ homepages, like-minded enthusiasts forge webs of mutual links called “WebRings,” and huge corporate servers link their different areas for ease of maintenance.
					
zenny	money, currency, kromer, economy, shop, shops, shopprices, cash, cachemoney	Reminders (Base)	FALSE		**Zenny** is the global currency in 200X, and there are many ways for players to acquire new items over the course of a campaign. This includes shops, exploration, and achieving milestones.\n\n__**Economy**__\nAs a general rule of thumb, Zenny is a common reward found throughout the adventures of the players. \n- **500z** is a good starting point for a small prize, like rewarding a player for snooping in a cupboard or in the change return of a vending machine.\n- Between **1000-2000z** is a moderate sum, useful for rewarding side missions or stylish Virus busting. \n- From **2000z** to **4000z** is a large reward; players should have to work for these, maybe sacrificing something or excelling as a team. \n- Anything above **4000z** is a jackpot prize; especially powerful items tend to be priced in this range, so dole these out rarely, and with good reason.\n\n__**Shop Prices**__\nItem prices in shops are contextual. When pricing items, think ahead to the challenges your players will face, and what will seem easy and difficult to make use of.\n- **500z - Basic or Situational**: These items aren't expected to be too useful - at least, not without a hefty dose of creativity. _Examples: Starter Chips, Hazard chips with harmless effects (e.g. sand), 1 EB NaviCust programs._\n- **1000z-2000z - Most Items**: These items are expected to be useful in general, or extremely useful in specific scenarios. _Examples: 2EB NCPs, 2-3DMG chips, an item that helps for the upcoming challenge_\n- **3000z+ - Best of the Best**: These will be really useful for what's coming up next! _Examples: 4DMG chips, 4+EB NCPs, an item that exploits the boss's weakness_
hazard	hazards	Reminders (Base)	FALSE		**__Hazards__** are environmental challenges that players might encounter, such as stepping across burning coals, breathing in clouds of poison gas, or being crushed by a boulder. GMs can reduce a Hazard's effects in exchange for another negative effect (e.g. upshifting rolls, setting off an alarm, briefly freezing a Navi in place). Players may suggest alternate ways of resisting hazards (e.g. Speed instead of Stamina). Lastly, normal upshifting/downshifting rules apply; some Hazards may be Easy to defend by default, or naturally Hard to resist. **Treat these hazard descriptions as flexible suggestions.**\n\nFor a list of hazard examples from the rulebook, type `help hazardex`!\nFor the ruling on player-made hazards, type `help playerhazard`!
hazardex	hazardexample, hazardexamples,  hazardsexamples, hazardsex	Reminders (Base)	TRUE		**Hazard Examples:**\n\n**Light hazards:** Perform a Normal Stamina roll. On a failure, take 2 damage. On a mixed success, take 1.\n**Normal hazards:** Perform a Normal Stamina roll. On a failure, take 4 damage. On a mixed success, take 2.\n**Extreme hazards:** Perform a Normal Stamina roll. On a failure, take 6 damage. On a mixed, take 4. On a full success, take 2. On a critical success, take 0.\n\n**Distractions:** Perform an Easy Bravery roll. On a failure, upshift the next two Mind rolls. On a mixed success, upshift the next Mind roll. On a full success, nothing happens. Penalties will fade if you take time to rest and recollect yourself.\n**Panics:** Perform a Normal Bravery roll. On a failure, upshift the next two rolls. On a mixed success, upshift the next roll. On a full success, nothing happens. Penalties will fade if you get away from the source of the panic, take time to rest, and recollect yourself. Players can snap each other out of panics - doing so instantly could be the bonus effect of a critical success.\n**Freezes:** Perform a Hard Bravery roll. On a failure, you freeze for several seconds, too panicked to act. On a mixed success, you hesitate for just a moment. On a full success, nothing happens.
playerhazard	playermadehazards, playerhazards, pmh	Reminders (Base)	TRUE		Player elements are sometimes able to make hazards, and dangerous elements should come with matching limitations. Avoid allowing players to generate Extreme hazards from their element; it's hard to set balancing limitations that don't make it too deadly or too frustrating.\n\nOther tools can also create hazards. Chips like LavaSeed can be deadly; accordingly, GMs should be sure to play up their limitations, such as slow activation time or potential collateral damage.
					
virus		Lookups	FALSE	virusruling	This command can pull up a basic __**Virus**__ description.
virusx		Lookups	FALSE		This command pulls up the __**full statblock for Viruses**__, including stats, powers names, and drops. __This command is more for GMs rather than players in a session.__ 
virusr	virusrandom	Rollers	FALSE		Rolls __**random Viruses**__. You can also give me specific categories to roll Viruses from; check out `virusr` for more details!\nIf you're looking to lookup virus information, use `virus` or `virusx` instead.
mysterydata		Rollers	FALSE	mysterydataruling	This command rolls __**Mystery Data**__ and gives you the result automatically! Specify its rarity afterwards (i.e. `mysterydata common`) to use. 
mysteryreward		Rollers	FALSE		This command rolls __**Mystery Data (BattleChips and NCPs only)**__ and gives you the result automatically! Specify `mysteryreward common`, `mysteryreward uncommon`, or `mysteryreward rare`. You can also roll for rewards from different Mystery Data from NetBattlers Advance.
adventure		Rollers	FALSE		Rolls a randomly-generated __**adventure**__! Use `adventure core` to roll from the tables in the book, or `adventure chaos` for extra bonus scenarios! (Note: Still in development!)
fight		Rollers	FALSE		Rolls a randomly-generated boss __**fight**__ scenario!
					
navichip	navichips	Reminders (Base)	FALSE		**__NaviChips__** are **MegaChips** that store attack data from Navis, containing a small fragment of the Navi’s core data. When using a NaviChip, a temporary image of the Navi may emerge to perform a set action.\n\nNaviChips can be downloaded from two sources: **deleted Navis** or **close Bonds**.\nDeleted Navis, especially after a highly intense, dramatic combat, may have their data linger just long enough to capture their attack data into a Blank BattleChip. The first Navi to download the data receives the NaviChip — no roll necessary. It will be available for use after jack-out.\n\nWhen two characters (Navis or NetOps, player character or NPC) develop a close bond and have a capstone scene, the emotional energy can be harnessed by the Navis to create a **single NaviChip with both their data**. (A Navi can still participate in creating a capstone scene NaviChip if they did not participate in the scene but their NetOp did!)\n\nFor more details on capstone scenes, try `help capstone`! For the full ruleset on how GMs create NaviChips, check out the "**NaviChips**" section in the NetBattlers rulebook!
